Band_ID,Adult_Color,HY_Color,Sex,Birth_Year,Known_Age,Banding_Age,Mother_ID,Father_ID,Banding_Date,Natal_NestKey,Last_Yr_Seen
2021.76716,,,U,1989,True,N,2011.8161,1560.0308,06/27/89,89-M31.2,1989
2021.76717,,,U,1989,True,N,2011.8161,1560.0308,06/27/89,89-M31.2,1989
2021.76718,,,U,1989,True,N,2021.76327,2011.81555,06/27/89,89-M30.3,1989
2021.76719,,,U,1989,True,N,2021.76327,2011.81555,06/27/89,89-M30.3,1989
2021.7672,,,U,1989,True,N,2021.76327,2011.81555,06/27/89,89-M30.3,1989
2021.76721,,,U,1989,True,N,2021.76327,2011.81555,06/27/89,89-M30.3,1989
2021.76722,,,U,1989,True,N,2021.76327,2011.81555,06/27/89,89-M30.3,1989
2021.76723,,,U,1989,True,N,2021.76327,2011.81555,06/27/89,89-M30.3,1989
2021.76724,,,U,1989,True,N,2021.76321,940.25076,06/27/89,89-N23.1,1989
2021.76725,,,U,1989,True,N,2021.76321,940.25076,06/27/89,89-N23.1,1989
2021.76726,,,U,1989,True,N,2021.76321,940.25076,06/27/89,89-N23.1,1989
2021.76727,,,U,1989,True,N,2021.76321,940.25076,06/27/89,89-N23.1,1989
2021.76728,,,U,1989,True,N,2021.76321,940.25076,06/27/89,89-N23.1,1989
2021.76729,,,U,1989,True,N,2021.76311,940.25279,06/27/89,89-M21.4,1989
2021.7673,,,U,1989,True,N,2021.76311,940.25279,06/27/89,89-M21.4,1989
2021.76731,,,U,1989,True,N,2021.76311,940.25279,06/27/89,89-M21.4,1989
2021.76732,,,U,1989,True,N,2021.76311,940.25279,06/27/89,89-M21.4,1989
2021.76733,,,U,1989,True,N,2021.76311,940.25279,06/27/89,89-M21.4,1989
2021.76734,,,U,1989,True,N,2021.76311,940.25279,06/27/89,89-M21.4,1989
2021.76735,,,F,1989,True,N,940.25759,1560.04173,06/27/89,89-M19.1,2011
2021.76736,,,U,1989,True,N,940.25759,1560.04173,06/27/89,89-M19.1,1989
2021.76737,,,U,1989,True,N,940.25759,1560.04173,06/27/89,89-M19.1,1989
2021.76738,,,U,1989,True,N,940.25759,1560.04173,06/27/89,89-M19.1,1989
2021.76739,,,U,1989,True,N,940.25759,1560.04173,06/27/89,89-M19.1,1989
2021.7674,,,U,1989,True,N,940.25345,2021.76347,06/27/89,89-M18.1,1989
2021.76741,,,U,1989,True,N,940.25345,2021.76347,06/27/89,89-M18.1,1989
2021.76742,,,U,1989,True,N,940.25345,2021.76347,06/27/89,89-M18.1,1989
2021.76743,,,U,1989,True,N,940.25345,2021.76347,06/27/89,89-M18.1,1989
2021.76744,,,U,1989,True,N,940.25345,2021.76347,06/27/89,89-M18.1,1989
2021.76745,,,U,1989,True,N,940.25345,2021.76347,06/27/89,89-M18.1,1989
2021.76746,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.76747,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.76748,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.76749,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.7675,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.76751,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.76752,,,U,1989,True,N,940.25769,,06/28/89,89-M25.1,1989
2021.76753,,,U,1989,True,N,2011.81491,2021.7635,06/28/89,89-N28.2,1989
2021.76754,,,U,1989,True,N,2011.81491,2021.7635,06/28/89,89-N28.2,1989
2021.76755,,,U,1989,True,N,2011.81491,2021.7635,06/28/89,89-N28.2,1989
2021.76756,,,U,1989,True,N,2011.81491,2021.7635,06/28/89,89-N28.2,1989
2021.76757,,,U,1989,True,N,2011.81491,2021.7635,06/28/89,89-N28.2,1989
2021.76758,,,U,1989,True,N,2011.81491,2021.7635,06/28/89,89-N28.2,1989
2021.76759,,,U,1989,True,N,2021.76313,2021.76349,06/28/89,89-M29.1,1989
2021.7676,,,U,1989,True,N,2021.76313,2021.76349,06/28/89,89-M29.1,1989
2021.76761,,,U,1989,True,N,2021.76313,2021.76349,06/28/89,89-M29.1,1989
2021.76762,,,U,1989,True,N,2021.76313,2021.76349,06/28/89,89-M29.1,1989
2021.76763,,,U,1989,True,N,2021.76313,2021.76349,06/28/89,89-M29.1,1989
2021.76764,,,U,1989,True,N,2021.76313,2021.76349,06/28/89,89-M29.1,1989
2021.76765,,,U,1989,True,N,2021.76319,1560.03059,06/28/89,89-O27.2,1989
2021.76766,,,U,1989,True,N,2021.76319,1560.03059,06/28/89,89-O27.2,1989
2021.76767,,,U,1989,True,N,2021.76319,1560.03059,06/28/89,89-O27.2,1989
2021.76768,,,U,1989,True,N,2021.76319,1560.03059,06/28/89,89-O27.2,1989
2021.76769,,,U,1989,True,N,2021.76319,1560.03059,06/28/89,89-O27.2,1989
2021.7677,,,U,1989,True,N,2021.76319,1560.03059,06/28/89,89-O27.2,1989
2021.76771,,,U,1989,True,N,2021.76317,940.25704,06/28/89,89-N23.3,1989
2021.76772,,,U,1989,True,N,2021.76317,940.25704,06/28/89,89-N23.3,1989
2021.76773,,,U,1989,True,N,2021.76317,940.25704,06/28/89,89-N23.3,1989
2021.76774,,,U,1989,True,N,2021.76317,940.25704,06/28/89,89-N23.3,1989
2021.76775,,,U,1989,True,N,2021.76317,940.25704,06/28/89,89-N23.3,1989
2021.76776,,,U,1989,True,N,2021.76317,940.25704,06/28/89,89-N23.3,1989
2021.76777,,,U,1989,True,N,2011.81193,2021.76348,06/28/89,89-N23.2,1989
2021.76778,,,U,1989,True,N,2011.81193,2021.76348,06/28/89,89-N23.2,1989
2021.76779,,,U,1989,True,N,2011.81193,2021.76348,06/28/89,89-N23.2,1989
2021.7678,,,U,1989,True,N,2011.81193,2021.76348,06/28/89,89-N23.2,1989
2021.76781,,,U,1989,True,N,910.26766,2011.81176,06/28/89,89-N20.1,1989
2021.76782,,,U,1989,True,N,910.26766,2011.81176,06/28/89,89-N20.1,1989
2021.76783,,,U,1989,True,N,910.26766,2011.81176,06/28/89,89-N20.1,1989
2021.76784,,,U,1989,True,N,910.26766,2011.81176,06/28/89,89-N20.1,1989
2021.76785,,,F,1989,True,N,2011.812,,06/28/89,89-M20.2,1992
2021.76786,,,U,1989,True,N,2011.812,,06/28/89,89-M20.2,1989
2021.76787,,,U,1989,True,N,2011.812,,06/28/89,89-M20.2,1989
2021.76788,,,U,1989,True,N,2011.812,,06/28/89,89-M20.2,1989
